Identifier	Change_name	Change_type	Species	Gender	Age_start	Age_end	Description	Tissues	Gene	Properties	Type_of_data	Process_measured	Sample_size	Method_of_collection	Data_transforms	Percentage_change	P_value	Coefficiant	Intercept	Relationship_parent_identifiers	References
DAA1847	adenylosuccinate synthetase like 1	molecular	Mus musculus	male/female	5	25		Skeletal Muscle	Adssl1 (adenylosuccinate synthetase like 1)		equation	Gene Expression Level	20	Microarray	Log2	-13.0	0.0008961359924784820000000				2648: NCBI GEO Dataset (2006) "Caloric restriction effect on aged skeletal muscle"  (http://www.ncbi.nlm.nih.gov/sites/GDSbrowser?acc=GDS2612)|2835: Edwards et al. (2007) "Gene expression profiling of aging reveals activation of a p53-mediated transcriptional program."  BMC Genomics 8:80 (17381838)
DAA1960	Adipocyte formation increases	physiological	Mus musculus	male	0	15	Bone marrow stromal cells derived from 15-month-old mice developed more adipocytes than cells derived from 4-weeks old mice.	Bone Marrow													2855: Li et al. (2011) "Nicotinamide phosphoribosyltransferase (Nampt) affects the lineage fate determination of mesenchymal stem cells: a possible cause for reduced osteogenesis and increased adipogenesis in older individuals."  J. Bone Miner. Res. 26(11):2656-2664 (21812028)
DAA1323	a disintegrin and metallopeptidase domain 25 (testase 2)	molecular	Mus musculus	male/female	3	23		Hematological System	Adam25 (a disintegrin and metallopeptidase domain 25 (testase 2))		equation	Gene Expression Level	20	Microarray	Log2	9.0	0.0005387290099127650000000				2882: Rossi et al. (2005) "Cell intrinsic alterations underlie hematopoietic stem cell aging."  Proc. Natl. Acad. Sci. U.S.A. 102(26):9194-9199 (15967997)
DAA1850	ADP-ribosylation factor-like 1	molecular	Mus musculus	male/female	5	25		Skeletal Muscle	Arl1 (ADP-ribosylation factor-like 1)		equation	Gene Expression Level	20	Microarray	Log2	6.0	0.0002502092157387740000000				2648: NCBI GEO Dataset (2006) "Caloric restriction effect on aged skeletal muscle"  (http://www.ncbi.nlm.nih.gov/sites/GDSbrowser?acc=GDS2612)|2835: Edwards et al. (2007) "Gene expression profiling of aging reveals activation of a p53-mediated transcriptional program."  BMC Genomics 8:80 (17381838)
DAA1724	ADP-ribosylation factor-like 5A	molecular	Mus musculus	male/female	8	24		Muscle	Arl5a (ADP-ribosylation factor-like 5A)		equation	Gene Expression Level	20	Microarray	Log2	3.0	0.0003438685773872300000000				2651: Beggs et al. (2004) "Alterations in the TGFbeta signaling pathway in myogenic progenitors with age."  Aging Cell 3(6):353-361 (15569352)
DAA2124	ADP-ribosylation-like factor 6 interacting protein 6 decreases with age	molecular	Homo sapiens	female	-1	-1	Gene expression showed a significant (p<E-3) decrease in the expression of ARL6IP6 in oocytes donated from older women (aged 37-39 years - both inclusive) compared to oocytes from younger women (aged 25-35 years)	Ovary	ARL6IP6 (ADP-ribosylation-like factor 6 interacting protein 6)			Gene Expression Level	None	None	None	-76.13	0.0050500000000000000000000				2714: Grøndahl et al. (2010) "Gene expression profiles of single human mature oocytes in relation to age."  Hum. Reprod. 25(4):957-968 (20147335)
DAA2591	Advanced glycation end products increases in aging human skeletal muscle	physiological	Homo sapiens	male/female	22	93	Study of young (22-30 years old; mean 25) and old (70-93 years old; mean 78) healthy sedentary individuals showed that the amount of advanced glycation end products increases by ~200% with ageing. In contrast, collagen concentration and pyridinoline cross-links are not significantly changed with aging. Additionally, all general skeletal muscle protein pools are reduced with aging (myofibrillar by 5%, sarcoplasmic by 8%), while the two main contractile proteins, myosin and actin, are not significantly changed. The proportion of MHC I in the muscle increases with aging, whereas MHC IIa and IIx are reduced.	Muscle													3457: Haus, JM et al. (2007) "Collagen, cross-linking, and advanced glycation end products in aging human skeletal muscle."  J. Appl. Physiol. 103(6):2068-2076 (17901242)
DAA1978	Age differences in classical conditioning of the eyelid response	physiological	Homo sapiens	male/female	40	83	Starting with mid-life there are age differences in the classical conditioning of the eyelid response. Regardless of age, subjects with low amplitude unconditioned responses condition poorly. In the group of subjects with normal amplitude unconditioned response, there is a correlation between age and the total percentage of conditioned responses (0.58).	Eyelid													2663: Woodruff-Pak and Thompson (1988) "Classical conditioning of the eyeblink response in the delay paradigm in adults aged 18-83 years."  Psychol Aging 3(3):219-229 (3268262)
DAA551	AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)	molecular	Homo sapiens	male/female	20	75		Skeletal Muscle	AHSA2 (AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast))		equation	Gene Expression Level	0	Microarray	Log	3.0	0.0001904830458084340000000				2828: Welle et al. (2004) "Skeletal muscle gene expression profiles in 20-29 year old and 65-71 year old women."  Exp. Gerontol. 39(3):369-377 (15036396)|2841: Welle et al. (2003) "Gene expression profile of aging in human muscle."  Physiol. Genomics 14(2):149-159 (12783983)
DAA6	AHNAK nucleoprotein	molecular	Homo sapiens	male/female	26	106		Brain	AHNAK (AHNAK nucleoprotein)		equation	Gene Expression Level	0	Microarray	Log	13.0	0.0003943477245076880000000				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA1328	AHNAK nucleoprotein 2	molecular	Mus musculus	male/female	3	23		Hematological System	Ahnak2 (AHNAK nucleoprotein 2)		equation	Gene Expression Level	20	Microarray	Log2	81.0	0.0001011603864167540000000				2882: Rossi et al. (2005) "Cell intrinsic alterations underlie hematopoietic stem cell aging."  Proc. Natl. Acad. Sci. U.S.A. 102(26):9194-9199 (15967997)
DAA804	Air flow resistance increases	physiological	Homo sapiens	male/female	-1	-1	Air flow resistance increases with age.	Lung													2746: Britto et al. (2009) "Effects of the aging process on respiratory function."  Gerontology 55(5):505-510 (19713688)
DAA474	A kinase (PRKA) anchor protein 7	molecular	Homo sapiens	male/female	20	75		Skeletal Muscle	AKAP7 (A kinase (PRKA) anchor protein 7)		equation	Gene Expression Level	0	Microarray	Log	-3.0	0.0003476352747378460000000				2828: Welle et al. (2004) "Skeletal muscle gene expression profiles in 20-29 year old and 65-71 year old women."  Exp. Gerontol. 39(3):369-377 (15036396)|2841: Welle et al. (2003) "Gene expression profile of aging in human muscle."  Physiol. Genomics 14(2):149-159 (12783983)
DAA1247	albumin	molecular	Mus musculus	male/female	5	22		Brain	Alb (albumin)		equation	Gene Expression Level	20	Microarray	Log2	88.0	0.0008854434929839640000000				2765: Godbout et al. (2005) "Exaggerated neuroinflammation and sickness behavior in aged mice following activation of the peripheral innate immune system."  FASEB J. 19(10):1329-1331 (15919760)|2833: NCBI GEO Dataset (2005) "Age effect on lipopolysaccharide-induced neuroinflammation and sickness behavior"  (http://www.ncbi.nlm.nih.gov/sites/GDSbrowser?acc=GDS1311)
DAA698	Albumin levels decrease	physiological	Homo sapiens	male/female	26	87	Albumin levels were significant lower in thirty-seven elderly subjects (median age, 87, range 70-95 years; median: 42 g\\L)  than in 22 young subjects (median age, 26, range 21-37 years; median: 46 g\\L).	Plasma													2871: Ogawa et al. (2008) "The association of elevated reactive oxygen species levels from neutrophils with low-grade inflammation in the elderly."  Immun Ageing 5:13 (18950479)
DAA2431	aldehyde dehydrogenase 1A1 decreases with age	molecular	Homo sapiens	female	6	73	Comparison of DNA methylation showed a significantly decreased methylation level of ALDH1A1 in dermal fibroblasts from elderly women (aged 60-73 years old) compared to cells from younger women (aged 6-23 years old)	Dermis	ALDH1A1 (aldehyde dehydrogenase 1 family, member A1)			DNA Methylation	None	None	None	-30.3	0.0040000000000000000000000				2751: Koch et al. (2011) "Specific age-associated DNA methylation changes in human dermal fibroblasts."  PLoS ONE 6(2):e16679 (21347436)
DAA7	aldehyde dehydrogenase 9 family, member A1	molecular	Homo sapiens	male/female	26	106		Brain	ALDH9A1 (aldehyde dehydrogenase 9 family, member A1)		equation	Gene Expression Level	0	Microarray	Log	10.0	0.0002089006197826330000000				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA1721	aldehyde dehydrogenase family 1, subfamily A1	molecular	Mus musculus	male/female	8	24		Muscle	Aldh1a1 (aldehyde dehydrogenase family 1, subfamily A1)		equation	Gene Expression Level	20	Microarray	Log2	6.0	0.0005638688356022180000000				2651: Beggs et al. (2004) "Alterations in the TGFbeta signaling pathway in myogenic progenitors with age."  Aging Cell 3(6):353-361 (15569352)
DAA1277	aldo-keto reductase family 1, member C18	molecular	Mus musculus	male/female	4	15		Cochlea	Akr1c18 (aldo-keto reductase family 1, member C18)		equation	Gene Expression Level	20	Microarray	Log2	-20.0	0.0000679437362951275000000				2666: Someya et al. (2007) "Caloric restriction suppresses apoptotic cell death in the mammalian cochlea and leads to prevention of presbycusis."  Neurobiol. Aging 28(10):1613-1622 (16890326)
DAA2428	aldo-keto reductase family 1; member C3 decreases with age	molecular	Homo sapiens	female	6	73	Comparison of DNA methylation showed a significantly decreased methylation level of AKR1C3 in dermal fibroblasts from elderly women (aged 60-73 years old) compared to cells from younger women (aged 6-23 years old)	Dermis	AKR1C3 (aldo-keto reductase family 1, member C3)			DNA Methylation	None	None	None	-19.3	0.0080000000000000000000000				2751: Koch et al. (2011) "Specific age-associated DNA methylation changes in human dermal fibroblasts."  PLoS ONE 6(2):e16679 (21347436)
DAA912	Aldosterone secretion, blood levels and clearance decrease	physiological	Homo sapiens	male/female	-1	-1	Aldosterone secretion, aldosterone blood levels (undetectable at ~65 years of age) and aldosterone clearance decrease with age.	Plasma, Adrenal Gland													2676: Flood et al. (1967) "The metabolism and secretion of aldosterone in elderly subjects."  J. Clin. Invest. 46(6):960-966 (6026101)
DAA1969	Alox5 arachidonate 5-lipoxygenase (5-LOX) mRNA expression decrease	molecular	Mus musculus	male	2	22	5-LOX mRNA expression decreased in heart from age 2 to 22 month.	Heart	Alox5 (arachidonate 5-lipoxygenase)												2715: Dzitoyeva et al. (2009) "5-Lipoxygenase DNA methylation and mRNA content in the brain and heart of young and old mice."  Neural Plast. 2009:209596 (20052386)
DAA1967	Alox5 arachidonate 5-lipoxygenase (5-LOX) mRNA expression increase	molecular	Mus musculus	male	2	22	5-LOX mRNA expression increased in cerebellum from age 2 to 22 month.	Cerebellum													2715: Dzitoyeva et al. (2009) "5-Lipoxygenase DNA methylation and mRNA content in the brain and heart of young and old mice."  Neural Plast. 2009:209596 (20052386)
DAA1965	Alox5 arachidonate 5-lipoxygenase (5-LOX) mRNA expression increase	molecular	Mus musculus	male	2	22	5-LOX mRNA expression level increased in frontal cortex from age 2 to 22 month.	Heart	Alox5 (arachidonate 5-lipoxygenase)												2715: Dzitoyeva et al. (2009) "5-Lipoxygenase DNA methylation and mRNA content in the brain and heart of young and old mice."  Neural Plast. 2009:209596 (20052386)
DAA1963	Alox5 arachidonate 5-lipoxygenase (5-LOX) promoter methylation increase	molecular	Mus musculus	male	2	22	5-LOX promoter-5’UTR DNA methylation increased in heart from age 2 to 22 month.	Heart	Alox5 (arachidonate 5-lipoxygenase)												2715: Dzitoyeva et al. (2009) "5-Lipoxygenase DNA methylation and mRNA content in the brain and heart of young and old mice."  Neural Plast. 2009:209596 (20052386)
DAA1964	Alox5 arachidonate 5-lipoxygenase (5-LOX) promoter methylation increase	molecular	Mus musculus	male	2	22	5-LOX promoter-5’UTR DNA methylation increased in cerebellum from age 2 to 22 month.	Cerebellum	Alox5 (arachidonate 5-lipoxygenase)												2715: Dzitoyeva et al. (2009) "5-Lipoxygenase DNA methylation and mRNA content in the brain and heart of young and old mice."  Neural Plast. 2009:209596 (20052386)
